feature,miss_train,miss_val,psi,rho_tr_score,rho_va_score,rho_tr_target,rho_va_target,exp_dir,polarity_mismatch,gradx_mean_abs,perm_drop_spearman,flip_score,suspicious_score
hist_pre_clean_share_mean,0.04277286135693215,0.0,0.13792595893158272,-0.09338462300267011,-0.16707815500536527,0.27951965801373546,0.21579898303628833,1.0,1.0,0.042464032769203186,-0.009512228,0,0.4685270506141227
hist_pre_best10_pace_iqr_s,0.04277286135693215,0.0,1.4936827961183103,0.06405908019762456,-0.08308184929108858,0.15680530725611452,0.17033671525600397,,,0.005248793866485357,-0.0015853712,1,0.4126783948366555
driver_team_pre_team_finish_p50,0.032448377581120944,0.0,2.8408005739128996,-0.47460111967121715,-0.40442829804376035,-0.6118258312208014,-0.33580767789346083,-1.0,0.0,0.037169624119997025,0.060981166,0,0.3385129042474748
driver_trend,0.13126843657817108,0.0,0.13409926827747695,0.0979736270036205,-0.05092064484396373,0.02093936979308963,-0.035462559888134494,,,0.01447133906185627,0.002670099,1,0.2985940139138446
driver_team_pre_team_top10_rate,0.032448377581120944,0.0,1.5993430151585446,0.514638466230342,0.39510040225125426,0.6001798532238235,0.3583919569409731,1.0,0.0,0.04251253232359886,0.0450162,0,0.29635961294585067
track_cluster_balanced,0.0,0.0,0.0,0.04521277145267718,-0.5893594300722828,0.0015142923734040546,0.0,,,0.010968326590955257,0.0,1,0.2748670908967039
track_cluster_high_df,0.0,0.0,0.0,-0.2530186015487024,,-0.001216880701610664,,,,0.004623356740921736,0.0,1,0.2604819483055142
track_drs_n,0.0,0.0,0.0,0.2530186015487024,,0.001216880701610664,,,,0.0030531338416039944,,1,0.25692198177446474
track_drs_zones,0.0,0.0,0.0,0.2530186015487024,,0.001216880701610664,,,,0.0030514916870743036,,1,0.2569182587265032
driver_team_pre_team_points_mean,0.032448377581120944,0.0,3.8063481768465066,0.45823274500455813,0.42825982011013486,0.6018056911718093,0.3700546789687242,,,0.012241458520293236,0.030288935,0,0.2546956087099503
stability_delta_vs_tm,0.04277286135693215,0.0,0.42900572158723294,-0.1949642787220026,-0.34761877657892715,0.05242106721191635,-0.4089216570411398,,,0.04410779848694801,0.112422295,0,0.2429005713816667
quali_pre_bestpos_min,0.03982300884955752,0.0,1.7608978473054422,-0.444230960239963,-0.34296537323107573,-0.595247548584567,-0.3628420496975831,-1.0,0.0,0.022598305717110634,0.0150054,0,0.24067139996074374
hist_pre_hist_n,0.04277286135693215,0.0,1.5939205647889678,0.20684446185896296,0.2081312613323339,0.17105426004938173,0.2549181241556086,,,0.011833036318421364,-0.0013072359,0,0.18738238426253268
driver_team_pre_driver_points_mean,0.04129793510324484,0.0,0.29247661210106557,0.44790498762448144,0.36977180714156016,0.6374196897551612,0.4506364216067938,,,0.033524468541145325,-0.08010297,0,0.1765052836907949
finish_position_y,0.0,0.0,4.965260531490411e-05,-0.1726421055122025,-0.014602103777346259,-1.0,-1.0,,,0.026656249538064003,-0.10756883,0,0.1561221168087201
driver_team_pre_driver_grid_p50,0.04129793510324484,0.0,0.3137775554306645,-0.47633487780336853,-0.3415482104541539,-0.6430511996844906,-0.43810098555046906,,,0.03455919027328491,0.024920924,0,0.13189665222621538
track_braking_n,0.0,0.0,0.651673482529159,0.3583471827870276,0.5893594300722828,0.0005042829429357184,0.0,,,0.015397309325635433,0.0,0,0.10007570800954278
track_straight_pct,0.0,0.0,0.651673482529159,0.20624433699216052,0.1455050523464779,0.0,0.0,,,0.01486262958496809,0.0,0,0.09886349668436534
track_straight_n,0.0,0.0,0.651673482529159,0.20624433699216052,0.1455050523464779,0.0,0.0,,,0.01377876941114664,0.0,0,0.09640619845949656
track_braking_ev_per_lap,0.0,0.0,0.651673482529159,0.3583471827870276,0.5893594300722828,0.0005042829429357184,0.0,,,0.01313698198646307,0.0,0,0.09495115551437416
quali_pre_pos_p50,0.03982300884955752,0.0,0.23153526836964858,-0.4581812068295748,-0.36254500495081127,-0.6438017814022078,-0.42422583391956986,-1.0,0.0,0.02485886961221695,-0.014643824,0,0.09253860793757689
driver_team_pre_driver_top10_rate,0.04129793510324484,0.0,0.5962579125895763,0.4598913390247801,0.35656279091354154,0.6069015849283527,0.3848338770183974,1.0,0.0,0.00660432456061244,0.019803233,0,0.09221397654054009
finish_position_x,0.0,0.0,4.965260531490411e-05,-0.1726421055122025,-0.014602103777346259,-1.0,-1.0,,,0.017682356759905815,-0.0555019,0,0.08946304507073047
track_overtake_index,0.0,0.0,0.651673482529159,0.20624433699216052,0.1455050523464779,0.0,0.0,,,0.00938406866043806,0.0,0,0.08644265277862663
quali_pre_top10_rate,0.03982300884955752,0.0,0.35417796137995716,0.49663471663317116,0.3588819811900802,0.6431767259666832,0.4361431343053672,1.0,0.0,0.012647579424083233,0.022862723,0,0.08442851103072174
hist_pre_best10_pace_p50_s,0.04277286135693215,0.0,0.5061972330965284,-0.38793647148781635,-0.3159419151145314,-0.6179601102838556,-0.4190636387410067,-1.0,0.0,0.009327981621026993,0.013294868,0,0.08359369764234599
track_tdeg_index,0.0,0.0,0.2584295447143982,-0.4269893759375146,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.024976739659905434,0.0,0,0.08246953741239187
team_dev_trend,0.09587020648967552,0.0,0.18368617193339304,0.16209411800205287,0.08301441267488294,0.018142707039324135,-0.0004172464335199368,,,0.020105963572859764,0.012321394,0,0.07491222990876086
track_aero_df_n,0.0,0.0,0.2584295447143982,-0.4239297789791017,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.017737768590450287,0.0,0,0.06605753963953258
track_pit_loss_s,0.0,0.0,0.2584295447143982,-0.4269893759375146,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.01749890297651291,0.0,0,0.06551599003443821
track_fuel_effect_s_per10kg,0.0,0.0,0.2584295447143982,-0.4269893759375146,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.01643836870789528,0.0,0,0.06311157566565645
track_lap_n,0.0,0.0,0.2839068924080435,-0.1810977502334224,-0.16150560793097032,-0.0017736210749158816,0.0,,,0.014466513879597187,0.0,0,0.06118877494870277
track_lap_km,0.0,0.0,0.2839068924080435,-0.1810977502334224,-0.16150560793097032,-0.0017736210749158816,0.0,,,0.013956531882286072,0.0,0,0.06003255767365592
track_tdeg_n,0.0,0.0,0.2584295447143982,-0.4269893759375146,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.013097099028527737,0.0,0,0.055536340178435506
track_fast_corner_n,0.0,0.0,0.2584295447143982,-0.4239297789791017,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.012676652520895004,0.0,0,0.05458311532359515
track_fast_corner_ratio,0.0,0.0,0.2584295447143982,-0.4239297789791017,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.011769162490963936,0.0,0,0.052525678678632615
track_aero_df_index,0.0,0.0,0.2584295447143982,-0.4239297789791017,-0.7675266506936205,-0.0008868105374579408,0.0,,,0.011651410721242428,0.0,0,0.052258715077883613
track_cluster_id,0.0,0.0,0.2584295447143982,-0.3583471827870276,-0.5893594300722828,-0.0005042829429357184,0.0,,,0.009531303308904171,0.0,0,0.04745206537647282
track_power_vs_df_index,0.0,0.0,0.05649471546973295,0.4239297789791017,0.7675266506936205,0.0008868105374579408,0.0,,,0.018116584047675133,0.0,0,0.046722896787867556
driver_team_pre_driver_finish_p50,0.04129793510324484,0.0,0.19737316642050537,-0.4301034279046354,-0.3108920022602782,-0.6239037063184316,-0.40578334641882946,-1.0,0.0,0.00783845316618681,-0.0020025743,0,0.03928974020856524
track_cluster_low_df,0.0,0.0,0.0,0.2764491139323693,0.5893594300722828,-0.0008472867179088401,0.0,,,0.005534243304282427,0.0,0,0.01254708547843125
track_is_british_grand_prix,0.9705014749262537,0.8333333333333334,0.0,,,,,,,0.0037451498210430145,0.0,0,0.008490901528994314
hist_pre_team_stability,0.04129793510324484,0.0,0.0,0.011125879255561247,0.08835031652700638,0.10028351161493974,0.11108665294939818,,,0.0032303191255778074,,0,0.007323691417735982
track_is_austrian_grand_prix,0.9705014749262537,0.8333333333333334,0.0,,,,,,,0.0025097362231463194,,0,0.005690005514532591
track_is_italian_grand_prix,0.9705014749262537,0.8333333333333334,0.0,,,,,,,0.002354660304263234,,0,0.00533842162078388
track_is_dutch_grand_prix,0.9705014749262537,0.8333333333333334,0.0,,,,,,,0.0017716685542836785,,0,0.004016678625756279
track_is_hungarian_grand_prix,0.9705014749262537,0.8333333333333334,0.0,,,,,,,0.0014436899218708277,,0,0.0032730944156441804
track_is_belgian_grand_prix,0.9705014749262537,0.8333333333333334,0.0,,,,,,,0.0008691719267517328,,0,0.0019705628865228936
reliab_dnf_risk,0.0,0.0,0.0,,,,,,,8.29986704364849e-11,,0,1.8817232190657147e-10
track_is_bahrain_grand_prix,0.9410029498525073,1.0,,,,,,,,0.0,,0,0.0
track_same_hist_n,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
weather_pre_records_n,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
hist_pre_dnf_rate,0.04129793510324484,0.0,0.0,,,,,1.0,,0.0,,0,0.0
tele_pre_hist_n,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
tele_pre_pace_z_mean,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
tele_pre_pace_z_trend,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
tele_pre_same_track_n,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
quali_pre_notime_or_pen_rate,0.03982300884955752,0.0,0.0,,,,,1.0,,0.0,,0,0.0
expected_stop_count,0.0,0.0,0.0,,,,,1.0,,0.0,,0,0.0
first_stint_len_exp,0.0,0.0,0.0,,,,,,,0.0,,0,0.0
